"Date","Daily.Max.8.hour.Ozone.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","year","month","day"
2018-02-16,0.038,"ppm",35,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,16
2018-02-17,0.033,"ppm",31,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,17
2018-02-18,0.04,"ppm",37,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,18
2018-02-19,0.02,"ppm",19,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,19
2018-02-20,0.019,"ppm",18,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,20
2018-02-21,0.021,"ppm",19,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,21
2018-02-22,0.031,"ppm",29,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,22
2018-02-23,0.022,"ppm",20,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,23
2018-02-24,0.038,"ppm",35,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,24
2018-02-25,0.031,"ppm",29,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,25
2018-02-26,0.036,"ppm",33,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,26
2018-02-27,0.047,"ppm",44,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,27
2018-02-28,0.03,"ppm",28,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,2,28
2018-03-01,0.043,"ppm",40,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,1
2018-03-02,0.046,"ppm",43,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,2
2018-03-03,0.047,"ppm",44,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,3
2018-03-04,0.049,"ppm",45,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,4
2018-03-05,0.047,"ppm",44,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,5
2018-03-06,0.03,"ppm",28,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,6
2018-03-07,0.036,"ppm",33,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,7
2018-03-08,0.044,"ppm",41,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,8
2018-03-09,0.049,"ppm",45,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,9
2018-03-10,0.043,"ppm",40,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,10
2018-03-11,0.034,"ppm",31,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,11
2018-03-13,0.046,"ppm",43,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,13
2018-03-14,0.045,"ppm",42,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,14
2018-03-15,0.059,"ppm",64,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,15
2018-03-16,0.056,"ppm",54,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,16
2018-03-17,0.054,"ppm",50,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,17
2018-03-18,0.043,"ppm",40,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,18
2018-03-19,0.041,"ppm",38,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,19
2018-03-20,0.033,"ppm",31,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,20
2018-03-21,0.038,"ppm",35,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,21
2018-03-22,0.048,"ppm",44,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,22
2018-03-23,0.053,"ppm",49,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,23
2018-03-24,0.044,"ppm",41,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,24
2018-03-25,0.049,"ppm",45,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,25
2018-03-26,0.048,"ppm",44,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,26
2018-03-27,0.038,"ppm",35,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,27
2018-03-28,0.046,"ppm",43,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,28
2018-03-29,0.052,"ppm",48,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,29
2018-03-30,0.045,"ppm",42,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,30
2018-03-31,0.052,"ppm",48,"Taylorsville Liledoun","Alexander",35.9138,-81.191,2018,3,31
